id	Peptide IDs	Mod. Peptide IDs	Evidence IDs	MS/MS IDs	Oxidation (M) Site IDs	Phospho (STY) Site IDs	Oxidation (M) Site Positions	Phospho (STY) Site Positions	Protein IDs	Majority Protein IDs	Peptide Counts (all)	Peptide Counts (razor+unique)	Peptide Counts (unique)	Protein Names	Gene Names	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides MAPK1_E322K	Peptides MAPK1_WT	Razor + unique Peptides MAPK1_E322K	Razor + unique Peptides MAPK1_WT	Unique Peptides MAPK1_E322K	Unique Peptides MAPK1_WT	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment MAPK1_E322K	Experiment MAPK1_WT	PEP	Sequence Coverage MAPK1_E322K [%]	Sequence Coverage MAPK1_WT [%]	Intensity	Intensity MAPK1_E322K	Intensity MAPK1_WT	iBAQ	iBAQ MAPK1_E322K	iBAQ MAPK1_WT	LFQ Intensity MAPK1_E322K	LFQ Intensity MAPK1_WT	MS/MS Count MAPK1_E322K	MS/MS Count MAPK1_WT	Only identified by site	Reverse	Contaminant 
557	758;759	790;791	1789;1790;1791;1792	1532;1533		895		630	Q8WVC0	Q8WVC0	2	2	2	Replicative senescence down-regulated leo1-like protein;RNA polymerase-associated protein LEO1	LEO1;RDL	>Q8WVC0|LEO1_HUMAN RNA polymerase-associated protein LEO1 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	2.1	2.1	2.1	75.403	666	2	2	4.2852E-16	2.1	2.1	0	0	0	0	0	0	0	0	0	0			
558	1589	1642	3712;3713	3167		896		303	Q8WVM8	Q8WVM8	1	1	1	Sec1 family domain-containing protein 1;SLY1 homolog;Syntaxin-binding protein 1-like 2	C14orf163;FKSG23;KIAA0917;SCFD1;STXBP1L2	>Q8WVM8|SCFD1_HUMAN Sec1 family domain-containing protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3	3	3	72.379	642	1	1	8.7698E-07	3	3	0	0	0	0	0	0	0	0	0	0			
559	1188	1234	2779	2359		897;898		61;68	Q8WVV9	Q8WVV9	1	1	1	Heterogeneous nuclear ribonucleoprotein L-like;Stromal RNA-regulating factor	BLOCK24;HNRPLL;SRRF	>Q8WVV9|HNRLL_HUMAN Heterogeneous nuclear ribonucleoprotein L-like |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.4	2.4	2.4	60.082	542		1	0.0076329	0	2.4	0	0	0	0	0	0	0	0	0	0			
560	1005;1088	1048;1132	2382;2383;2384;2385;2564;2565;2566;2567	2039;2040;2181;2182;2183		899		137	Q8WWA1	Q8WWA1	2	2	2	Transmembrane protein 40	TMEM40	>Q8WWA1|TMM40_HUMAN Transmembrane protein 40 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	7.3	7.3	7.3	25.495	233	4	4	6.1889E-61	7.3	7.3	0	0	0	0	0	0	0	0	0	0			
561	1222	1269	2867;2868	2455		900		1593	Q8WWI1	Q8WWI1	1	1	1	F-box only protein 20;LIM domain only protein 7;LOMP	FBX20;FBXO20;KIAA0858;LMO7	>Q8WWI1|LMO7_HUMAN LIM domain only protein 7 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.8	0.8	0.8	192.69	1683	1	1	0.00022744	0.8	0.8	0	0	0	0	0	0	0	0	0	0			
562	417;435;1395	435;453;1443	976;1010;1011;3279;3280	810;853;854;855;2806;2807		901;902;1493		111;409;683	Q8WWM7	Q8WWM7	3	3	3	Ataxin-2 domain protein;Ataxin-2-like protein;Ataxin-2-related protein	A2D;A2LG;A2LP;A2RP;ATXN2L	>Q8WWM7|ATX2L_HUMAN Ataxin-2-like protein |Homo sapiens	1	3	3	3	2	3	2	3	2	3	3.6	3.6	3.6	113.37	1075	2	3	5.4524E-11	2.5	3.6	0	0	0	0	0	0	0	0	0	0			
563	529;530;1296;1318	549;550;1343;1365	1222;1223;1224;1225;3052;3053;3102;3103;3104;3105	1018;1019;2632;2666;2667		903;904;905;906		893;1101;1104;1121	Q8WX93	Q8WX93	4	4	4	Palladin;Sarcoma antigen NY-SAR-77;SIH002	CGI-151;KIAA0992;PALLD	>Q8WX93|PALLD_HUMAN Palladin |Homo sapiens	1	4	4	4	4	4	4	4	4	4	3.3	3.3	3.3	150.56	1383	5	5	1.3967E-27	3.3	3.3	0	0	0	0	0	0	0	0	0	0			
564	1642	1697	3819;3820	3265		907		159	Q8WY36	Q8WY36	1	1	1	Bobby sox homolog;HMG box transcription factor BBX;HMG box-containing protein 2	BBX;HBP2	>Q8WY36|BBX_HUMAN HMG box transcription factor BBX |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	105.13	941	1	1	0.029729	2	2	0	0	0	0	0	0	0	0	0	0			
565	917	959	2152	1818		908;909;1494;1495;1496;1497;1498		411;415;416;417;418;423;424	Q8WYB5	Q8WYB5	1	1	1	Histone acetyltransferase MORF;Histone acetyltransferase MOZ2;Histone acetyltransferase MYST4;Monocytic leukemia zinc finger protein-related factor;MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4	KIAA0383;MORF;MOZ2;MYST4	>Q8WYB5|KAT6B_HUMAN Histone acetyltransferase KAT6B |Homo sapiens	1	1	1	1	1	0	1	0	1	0	1	1	1	231.38	2073	1		0.06774	1	0	0	0	0	0	0	0	0	0	0	0	+		
566	1370	1418	3225;3226	2765		910		937	Q8WYL5	Q8WYL5	1	1	1	Protein phosphatase Slingshot homolog 1;SSH-like protein 1	KIAA1298;SSH1;SSH1L	>Q8WYL5|SSH1_HUMAN Protein phosphatase Slingshot homolog 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1	1	1	115.51	1049	1	1	0.027081	1	1	0	0	0	0	0	0	0	0	0	0			
567	1332;1333	1379;1380	3137;3138;3139;3140;3141	2695;2696;2697;2698		911		26	Q92466	Q92466	2	2	2	Damage-specific DNA-binding protein 2;DDB p48 subunit;DNA damage-binding protein 2;UV-damaged DNA-binding protein 2	DDB2	>Q92466|DDB2_HUMAN DNA damage-binding protein 2 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	3	3	3	47.863	427	2	3	6.1029E-09	2.8	3	0	0	0	0	0	0	0	0	0	0			
568	62	63	139;140	113		912		31	Q92522	Q92522	1	1	1	Histone H1x	H1FX	>Q92522|H1X_HUMAN Histone H1x |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.6	5.6	5.6	22.487	213	1	1	9.8385E-12	5.6	5.6	0	0	0	0	0	0	0	0	0	0			
569	1227;1331;1428	1274;1378;1476	2878;2879;2880;2881;3135;3136;3355;3356	2463;2464;2465;2466;2467;2693;2694;2877		913;914		330;362	Q92597	Q92597	3	3	3	Differentiation-related gene 1 protein;Nickel-specific induction protein Cap43;N-myc downstream-regulated gene 1 protein;Protein NDRG1;Reducing agents and tunicamycin-responsive protein;Rit42	CAP43;DRG1;NDRG1;RTP	>Q92597|NDRG1_HUMAN Protein NDRG1 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	10.4	10.4	10.4	42.835	394	4	4	3.0546E-85	10.4	10.4	0	0	0	0	0	0	0	0	0	0			
570	558	579	1294;1295	1088		915		809	Q92598	Q92598	1	1	1	Antigen NY-CO-25;Heat shock 110 kDa protein;Heat shock protein 105 kDa	HSP105;HSP110;HSPH1;KIAA0201	>Q92598|HS105_HUMAN Heat shock protein 105 kDa |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.9	0.9	0.9	96.864	858	1	1	0.00050616	0.9	0.9	0	0	0	0	0	0	0	0	0	0			
571	1238	1285	2907	2488		916;917		346;348	Q92610	Q92610	1	1	1	Zinc finger protein 592	KIAA0211;ZNF592	>Q92610|ZN592_HUMAN Zinc finger protein 592 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	0.7	0.7	0.7	137.53	1267		1	0.070753	0	0.7	0	0	0	0	0	0	0	0	0	0	+		
572	1297	1344	3054	2633		918		601	Q92615	Q92615	1	1	1	La ribonucleoprotein domain family member 4B;La ribonucleoprotein domain family member 5;La-related protein 4B;La-related protein 5	KIAA0217;LARP4B;LARP5	>Q92615|LAR4B_HUMAN La-related protein 4B |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.2	2.2	2.2	80.551	738		1	0.0026129	0	2.2	0	0	0	0	0	0	0	0	0	0			
573	1210	1257	2841;2842;2843	2437;2438		919;920		11;13	Q92685	Q92685	1	1	1	Asparagine-linked glycosylation protein 3 homolog;Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase;Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase;Dol-P-Man-dependent alpha(1-3)-mannosyltransferase;Not56-like protein	ALG3;NOT;NOT56L	>Q92685|ALG3_HUMAN Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.7	2.7	2.7	50.126	438	1	2	2.6369E-14	2.7	2.7	0	0	0	0	0	0	0	0	0	0			
574	790	823	1869;1870	1608;1609		1499		244	Q92688	Q92688	1	1	1	Acidic leucine-rich nuclear phosphoprotein 32 family member B;Acidic protein rich in leucines;Putative HLA-DR-associated protein I-2;Silver-stainable protein SSP29	ANP32B;APRIL;PHAPI2	>Q92688|AN32B_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member B |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.4	4.4	4.4	28.787	251	1	1	3.1478E-93	4.4	4.4	0	0	0	0	0	0	0	0	0	0			
575	1618	1673	3776;3777	3232		921		36	Q92766	Q92766	1	1	1	Finger protein in nuclear bodies;Raf-responsive zinc finger protein LZ321;Ras-responsive element-binding protein 1;Zinc finger motif enhancer-binding protein 1	FINB;RREB1	>Q92766|RREB1_HUMAN Ras-responsive element-binding protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.3	1.3	1.3	181.42	1687	1	1	0.0057886	1.3	1.3	0	0	0	0	0	0	0	0	0	0			
576	839	876;877	1990;1991;1992	1705;1706;1707	46	922	373	394	Q92769	Q92769	1	1	1	Histone deacetylase 2	HDAC2	>Q92769|HDAC2_HUMAN Histone deacetylase 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	6.8	6.8	6.8	55.364	488	1	2	0.00013593	6.8	6.8	0	0	0	0	0	0	0	0	0	0			
577	1147	1193	2691	2286		923		2025	Q92817	Q92817	1	1	1	210 kDa cornified envelope precursor protein;210 kDa paraneoplastic pemphigus antigen;Envoplakin;p210	EVPL	>Q92817|EVPL_HUMAN Envoplakin |Homo sapiens	1	1	1	1	1	0	1	0	1	0	0.4	0.4	0.4	231.6	2033	1		0.068815	0.4	0	0	0	0	0	0	0	0	0	0	0	+		
578	990	1033	2339	2002		924		520	Q92841	Q92841	1	1	1	DEAD box protein 17;DEAD box protein p72;Probable ATP-dependent RNA helicase DDX17;RNA-dependent helicase p72	DDX17	>Q92841|DDX17_HUMAN Probable ATP-dependent RNA helicase DDX17 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.1	1.1	1.1	72.371	650		1	0.020923	0	1.1	0	0	0	0	0	0	0	0	0	0			
579	741	773	1753;1754;1755	1506;1507		925;926		328;330	Q92922	Q92922	1	1	1	BRG1-associated factor 155;SWI/SNF complex 155 kDa subunit;SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1	BAF155;SMARCC1	>Q92922|SMRC1_HUMAN SWI/SNF complex subunit SMARCC1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.4	1.4	1.4	122.87	1105	2	1	0.0060174	1.4	1.4	0	0	0	0	0	0	0	0	0	0			
580	513;1048;1328	533;1091;1375	1176;1177;2475;2476;3125;3126	972;2116;2685;2686		927;928;929;1500		80;97;99;118	Q92934	Q92934	3	3	3	Bcl2 antagonist of cell death;Bcl-2-binding component 6;Bcl-2-like protein 8;Bcl-XL/Bcl-2-associated death promoter	BAD;BBC6;BCL2L8	>Q92934|BAD_HUMAN Bcl2 antagonist of cell death |Homo sapiens	1	3	3	3	3	3	3	3	3	3	28	28	28	18.392	168	3	3	9.6147E-07	28	28	0	0	0	0	0	0	0	0	0	0			
581	334	351	786	673		930;1501;1502;1503;1504;1505;1506;1507		283;286;289;290;291;296;297;298	Q92954	Q92954	1	1	1	Lubricin;Megakaryocyte-stimulating factor;Proteoglycan 4;Proteoglycan 4 C-terminal part;Superficial zone proteoglycan	MSF;PRG4;SZP	>Q92954|PRG4_HUMAN Proteoglycan 4 |Homo sapiens	1	1	1	1	1	0	1	0	1	0	1.5	1.5	1.5	151.08	1404	1		0.081257	1.5	0	0	0	0	0	0	0	0	0	0	0	+		
582	735	767	1740;1741	1492;1493;1494		1508		205	Q969G5	Q969G5	1	1	1	Cavin-3;Protein kinase C delta-binding protein;Serum deprivation response factor-related gene product that binds to C-kinase	PRKCDBP;SRBC	>Q969G5|PRDBP_HUMAN Protein kinase C delta-binding protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.7	5.7	5.7	27.701	261	1	1	6.6086E-06	5.7	5.7	0	0	0	0	0	0	0	0	0	0			
583	967	1010	2298;2299	1971		1509		396	Q96A19	Q96A19	1	1	1	Coiled-coil domain-containing protein 102A	CCDC102A	>Q96A19|C102A_HUMAN Coiled-coil domain-containing protein 102A |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	62.595	550	1	1	0.029295	2	2	0	0	0	0	0	0	0	0	0	0			
584	953	996	2264;2265	1944		931		177	Q96A73	Q96A73	1	1	1	Brain-derived rescue factor p60MONOX;UPF0498 protein KIAA1191	KIAA1191	>Q96A73|K1191_HUMAN UPF0498 protein KIAA1191 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.9	5.9	5.9	33.246	305	1	1	0.046539	5.9	5.9	0	0	0	0	0	0	0	0	0	0	+		
585	955	998	2270;2271	1954		932;1510		629;630	Q96AE4	Q96AE4	1	1	1	DNA helicase V;Far upstream element-binding protein 1	FUBP1	>Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.7	3.7	3.7	67.56	644	1	1	7.3742E-31	3.7	3.7	0	0	0	0	0	0	0	0	0	0			
586	1673	1729	3882;3883	3318		933		115	Q96AT1	Q96AT1	1	1	1	Uncharacterized protein KIAA1143	KIAA1143	>Q96AT1|K1143_HUMAN Uncharacterized protein KIAA1143 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	6.5	6.5	6.5	17.465	154	1	1	0.053071	6.5	6.5	0	0	0	0	0	0	0	0	0	0	+		
587	993	1036	2346;2347	2010		934		66	Q96B23	Q96B23	1	1	1	Uncharacterized protein C18orf25	C18orf25	>Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5	5	5	43.324	403	1	1	0.0021834	5	5	0	0	0	0	0	0	0	0	0	0			
588	620	646	1460;1461	1243;1244		1511		246	Q96B36	Q96B36	1	1	1	40 kDa proline-rich AKT substrate;Proline-rich AKT1 substrate 1	AKT1S1;PRAS40	>Q96B36|AKTS1_HUMAN Proline-rich AKT1 substrate 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.1	3.1	3.1	27.383	256	1	1	4.1702E-05	3.1	3.1	0	0	0	0	0	0	0	0	0	0			
589	279;310	293;324	663;664;729;730	576;621		935;1512		138;182	Q96C57	Q96C57	2	2	2	Uncharacterized protein C12orf43	C12orf43	>Q96C57|CL043_HUMAN Uncharacterized protein C12orf43 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	12.2	12.2	12.2	28.17	262	2	2	2.4326E-05	12.2	12.2	0	0	0	0	0	0	0	0	0	0			
590	1362	1410	3204;3205	2746		936		562	Q96D71	Q96D71	1	1	1	RalBP1-associated Eps domain-containing protein 1;RalBP1-interacting protein 1	REPS1	>Q96D71|REPS1_HUMAN RalBP1-associated Eps domain-containing protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1	1	1	86.661	796	1	1	0.059779	1	1	0	0	0	0	0	0	0	0	0	0	+		
591	485;1053;1285	505;1096;1332	1115;1116;1117;2488;2489;3026;3027	929;930;2124;2608		937;938;1513		47;62;76	Q96E09	Q96E09	3	3	3	Protein FAM122A	C9orf42;FAM122A	>Q96E09|F122A_HUMAN Protein FAM122A |Homo sapiens	1	3	3	3	3	3	3	3	3	3	15.7	15.7	15.7	30.529	287	3	4	2.7193E-13	15.7	15.7	0	0	0	0	0	0	0	0	0	0			
592	87;269;270	91;282;283	208;209;643;644;645;646;647;648;649	156;555;556;557;558;559;560		306;939		88;208	Q96E39	Q96E39	3	1	1	RNA-binding motif protein X-linked-like 1 (Kynurenine aminotransferase III) (Protein RBM1).	CCBL2;DKFZp547N1117;hCG_23341;RBMXL1;RP4-531M19.2-001	>Q96E39|RMXL1_HUMAN RNA binding motif protein, X-linked-like-1 |Homo sapiens	1	3	1	1	3	3	1	1	1	1	7.2	3.6	3.6	42.141	390	1	1	2.5001E-54	7.2	7.2	0	0	0	0	0	0	0	0	0	0			
593	947	990	2251;2252	1931		940		73	Q96EU6	Q96EU6	1	1	1	UPF0399 protein C6orf153	C6orf153;HSPC253	>Q96EU6|RRP36_HUMAN Ribosomal RNA processing protein 36 homolog |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.9	3.9	3.9	29.823	259	1	1	0.018856	3.9	3.9	0	0	0	0	0	0	0	0	0	0			
594	1579	1631	3687;3688	3143		941		765	Q96EV2	Q96EV2	1	1	1	Proline-rich protein 8;RNA-binding motif protein 33;RNA-binding protein 33	PRR8;RBM33	>Q96EV2|RBM33_HUMAN RNA-binding protein 33 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.9	0.9	0.9	129.98	1170	1	1	0.069282	0.9	0.9	0	0	0	0	0	0	0	0	0	0	+		
595	1494	1543	3490	2995		942		221	Q96F63	Q96F63	1	1	1	Coiled-coil domain-containing protein 97	CCDC97	>Q96F63|CCD97_HUMAN Coiled-coil domain-containing protein 97 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	8.7	8.7	8.7	38.946	343		1	0.044899	0	8.7	0	0	0	0	0	0	0	0	0	0	+		
596	1060	1103	2504;2505	2134;2135;2136		943		155	Q96I25	Q96I25	1	1	1	45 kDa-splicing factor;RNA-binding motif protein 17;Splicing factor 45	RBM17;SPF45	>Q96I25|SPF45_HUMAN Splicing factor 45 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4	4	4	44.961	401	1	1	0.0029015	4	4	0	0	0	0	0	0	0	0	0	0			
597	694;1348	725;1395	1645;1646;3172;3173	1411;2724		944;945;946;947		127;128;130;237	Q96IF1	Q96IF1	2	2	2	Protein ajuba	JUB	>Q96IF1|AJUBA_HUMAN LIM domain-containing protein ajuba |Homo sapiens	1	2	2	2	2	2	2	2	2	2	11	11	11	56.933	538	2	2	0.003405	11	11	0	0	0	0	0	0	0	0	0	0			
598	401;782;783;805;895	419;815;816;838;936	933;934;1839;1840;1841;1842;1843;1904;1905;2102;2103	783;1572;1573;1574;1632;1784		948;949;950;951;952		108;282;443;459;476	Q96JM3	Q96JM3	5	5	5	Zinc finger protein 828	C13orf8;KIAA1802;ZNF828	>Q96JM3|CHAP1_HUMAN Chromosome alignment-maintaining phosphoprotein 1 |Homo sapiens	1	5	5	5	4	5	4	5	4	5	9.1	9.1	9.1	89.098	812	5	6	1.2832E-13	7.9	9.1	0	0	0	0	0	0	0	0	0	0			
599	1111	1157	2615;2616	2221;2222		953		83	Q96JP5	Q96JP5	1	1	1	Zinc finger protein 91 homolog	FKSG11;ZFP91	>Q96JP5|ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.5	3.5	3.5	63.444	570	1	1	0.0053903	3.5	3.5	0	0	0	0	0	0	0	0	0	0			
600	55;70;1379	56;71;1427	126;127;156;157;3250	103;104;105;124;2786		954;955;956		129;134;197	Q96JY6	Q96JY6	3	3	3	PDZ and LIM domain protein 2;PDZ-LIM protein mystique	PDLIM2;PP6345	>Q96JY6|PDLI2_HUMAN PDZ and LIM domain protein 2 |Homo sapiens	1	3	3	3	2	3	2	3	2	3	14.2	14.2	14.2	37.458	352	2	3	1.8693E-05	10.8	14.2	0	0	0	0	0	0	0	0	0	0			
601	855	894	2020;2021	1727		957		140	Q96KQ7	Q96KQ7	1	1	1	Euchromatic histone-lysine N-methyltransferase 2;Histone H3-K9 methyltransferase 3;Histone-lysine N-methyltransferase, H3 lysine-9 specific 3;HLA-B-associated transcript 8;Lysine N-methyltransferase 1C;Protein G9a	BAT8;C6orf30;EHMT2;G9A;KMT1C;NG36	>Q96KQ7|EHMT2_HUMAN Histone-lysine N-methyltransferase EHMT2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.6	1.6	1.6	132.37	1210	1	1	9.5657E-05	1.6	1.6	0	0	0	0	0	0	0	0	0	0			
602	1086	1130	2561	2179		958		1054	Q96KR1	Q96KR1	1	1	1	M-phase phosphoprotein homolog;Zinc finger RNA-binding protein	ZFR	>Q96KR1|ZFR_HUMAN Zinc finger RNA-binding protein |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.4	1.4	1.4	117.01	1074		1	0.062905	0	1.4	0	0	0	0	0	0	0	0	0	0	+		
603	95	99	221;222	166		959		736	Q96L91	Q96L91	1	1	1	CAG repeat protein 32;Domino homolog;E1A-binding protein p400;p400 kDa SWI2/SNF2-related protein;Trinucleotide repeat-containing gene 12 protein	CAGH32;EP400;KIAA1498;KIAA1818;TNRC12	>Q96L91|EP400_HUMAN E1A-binding protein p400 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.3	0.3	0.3	343.48	3159	1	1	0.099501	0.3	0.3	0	0	0	0	0	0	0	0	0	0	+		
604	109;668	113;698	255;1584;1585	198;1364		960;961		146;419	Q96MU7	Q96MU7	2	2	2	Putative splicing factor YT521;YTH domain-containing protein 1	KIAA1966;YT521;YTHDC1	>Q96MU7|YTDC1_HUMAN YTH domain-containing protein 1 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	4.7	4.7	4.7	84.699	727	1	2	0.00028065	3.2	4.7	0	0	0	0	0	0	0	0	0	0			
605	1108	1154	2610	2218		962		1330	Q96PE2	Q96PE2	1	1	1	164 kDa Rho-specific guanine-nucleotide exchange factor;Rho guanine nucleotide exchange factor 17;Tumor endothelial marker 4	ARHGEF17;KIAA0337;TEM4	>Q96PE2|ARHGH_HUMAN Rho guanine nucleotide exchange factor 17 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	0.9	0.9	0.9	221.67	2063		1	0.0019314	0	0.9	0	0	0	0	0	0	0	0	0	0			
606	944	987	2245;2246	1926		963		3927	Q9UPN3;Q96PK2	Q9UPN3;Q96PK2	1;1	1;1	1;1	620 kDa actin-binding protein;Actin cross-linking family protein 7;Macrophin-1;Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5;Trabeculin-alpha;Microtubule-actin cross-linking factor 1, isoform 4	ABP620;ACF7;KIAA0465;KIAA1251;MACF1	>Q9UPN3|MACF1_HUMAN Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 |Homo sapiens;>Q96PK2|MACF4_HUMAN Microtubule-actin cross-linking factor 1, isoform 4 |Homo sapiens	2	1	1	1	1	1	1	1	1	1	0.2	0.2	0.2	838.3	7388	1	1	0.0085834	0.2	0.2	0	0	0	0	0	0	0	0	0	0			
607	255;954;1104	268;997;1149	616;617;2266;2267;2268;2269;2600;2601	534;1945;1946;1947;1948;1949;1950;1951;1952;1953;2212		964;1514;1515		206;215;629	Q96PK6;Q9BWF3;Q9BQ04	Q96PK6	3;1;1	3;1;1	3;1;1	Paraspeckle protein 2;RNA-binding motif protein 14;RNA-binding protein 14;RRM-containing coactivator activator/modulator;Synaptotagmin-interacting protein	RBM14;SIP	>Q96PK6|RBM14_HUMAN RNA-binding protein 14 |Homo sapiens	3	3	3	3	3	3	3	3	3	3	4	4	4	69.491	669	4	4	1.6647E-10	4	4	0	0	0	0	0	0	0	0	0	0			
608	1250	1297	2934;2935	2512		965;966		446;448	Q96PU5	Q96PU5	1	1	1	E3 ubiquitin-protein ligase NEDD4-like;NEDD4.2;Nedd4-2	KIAA0439;NEDD4L;NEDL3	>Q96PU5|NED4L_HUMAN E3 ubiquitin-protein ligase NEDD4-like |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.7	1.7	1.7	111.93	975	1	1	0.029604	1.7	1.7	0	0	0	0	0	0	0	0	0	0			
609	688	719	1632;1633	1401		967;968;1516		14;15;16	Q96QD9	Q96QD9	1	1	1	Forty-two-three domain-containing protein 1;UAP56-interacting factor	FYTTD1;UIF	>Q96QD9|UIF_HUMAN UAP56-interacting factor |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.7	4.7	4.7	35.818	318	1	1	0.091753	4.7	4.7	0	0	0	0	0	0	0	0	0	0	+		
610	139;812;1503	146;845;1552	339;340;1916;1917;3509;3510	283;1640;3010		969;970;971		173;496;904	Q96RK0	Q96RK0	3	3	3	Protein capicua homolog	CIC;KIAA0306	>Q96RK0|CIC_HUMAN Protein capicua homolog |Homo sapiens	1	3	3	3	3	3	3	3	3	3	2.4	2.4	2.4	163.82	1608	3	3	3.6052E-07	2.4	2.4	0	0	0	0	0	0	0	0	0	0			
611	1528	1577	3574;3575	3056		972;973		17;18	Q96S97	Q96S97	1	1	1	Myeloid-associated differentiation marker;Protein SB135	MYADM;UNQ553/PRO1110	>Q96S97|MYADM_HUMAN Myeloid-associated differentiation marker |Homo sapiens	1	1	1	1	1	1	1	1	1	1	7.1	7.1	7.1	35.273	322	1	1	0.097147	7.1	7.1	0	0	0	0	0	0	0	0	0	0	+		
612	428	446	998	842		974		1889	Q96SN8	Q96SN8	1	1	1	CDK5 activator-binding protein C48;CDK5 regulatory subunit-associated protein 2;Centrosome-associated protein 215	CDK5RAP2;CEP215;KIAA1633	>Q96SN8|CK5P2_HUMAN CDK5 regulatory subunit-associated protein 2 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.2	1.2	1.2	215.04	1893		1	0.003116	0	1.2	0	0	0	0	0	0	0	0	0	0			
613	826	859;860	1951;1952;1953;1954	1671;1672	47	975	375	377	Q96ST2	Q96ST2	1	1	1	IWS1-like protein;Protein IWS1 homolog	IWS1;IWS1L	>Q96ST2|IWS1_HUMAN Protein IWS1 homolog |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.1	2.1	2.1	91.954	819	2	2	0.00038038	2.1	2.1	0	0	0	0	0	0	0	0	0	0			
614	377;1448	395;1496	878;879;3395;3396	735;2922		976;977		475;604	Q96T23	Q96T23	2	2	2	HBV pX-associated protein 8;Hepatitis B virus X-associated protein;p325 subunit of RSF chromatin-remodeling complex;Remodeling and spacing factor 1	HBXAP;RSF1;XAP8	>Q96T23|RSF1_HUMAN Remodeling and spacing factor 1 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	2.4	2.4	2.4	163.82	1441	2	2	0.00015827	2.4	2.4	0	0	0	0	0	0	0	0	0	0			
615	256;594;1247	269;617;1294	618;619;1398;1399;2928;2929	535;536;1181;1182;1183;2506;2507;2508		978;979;1517		294;568;700	Q96T37	Q96T37	3	3	3	One-twenty two protein 1;Putative RNA-binding protein 15;RNA-binding motif protein 15	OTT;OTT1;RBM15	>Q96T37|RBM15_HUMAN Putative RNA-binding protein 15 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	3.4	3.4	3.4	107.19	977	3	3	1.0451E-23	3.4	3.4	0	0	0	0	0	0	0	0	0	0			
